amoblado,bathroom,baulera,bedroom,dimension_built,dimension_ground,garage,id_neighborhood,latitud,longitud,neighborhood,price,status,type_offer,year_built,riesgo
0,4.0,0,4.0,286,261,2,38,-16.532234,-68.079918,Koani,250000.0,2,Venta,,bajo
0,3.0,0,4.0,225,225,0,35,-16.538757,-68.057556,Cota Cota,250000.0,2,Venta,,moderado
0,4.0,0,4.0,432,850,3,151,-16.55986,-68.09461999999999,Aranjuez,530000.0,2,Venta,,moderado
0,6.0,0,3.0,600,603,2,37,-16.514441,-68.086395,Irpavi,580000.0,2,Venta,,moderado
0,4.0,0,5.0,250,300,3,29,-16.513678,-68.053596,Achumani,169000.0,1,Venta,2019.0,alto
0,6.0,0,4.0,345,351,2,29,-16.512421,-68.057358,Achumani,375000.0,2,Venta,,alto
0,5.0,0,4.0,620,1050,5,32,-16.537254,-68.072968,Calacoto,890000.0,2,Venta,,bajo
0,5.0,0,4.0,557,930,3,32,-16.541328,-68.08330500000001,Calacoto,1320000.0,2,Venta,1990.0,bajo
0,6.0,0,6.0,485,500,2,151,-16.557638,-68.098846,Aranjuez,350000.0,2,Venta,,moderado
0,5.0,0,4.0,492,320,2,29,-16.522589,-68.059662,Achumani,345000.0,2,Venta,2008.0,alto
0,4.0,0,5.0,500,650,0,29,-16.523220000000002,-68.06514,Achumani,480000.0,2,Venta,,alto
0,4.0,0,4.0,304,494,2,35,-16.544447,-68.065163,Cota Cota,370000.0,2,Venta,,moderado
0,2.0,0,3.0,165,165,1,29,-16.525305,-68.04908,Achumani,158000.0,1,Venta,2018.0,alto
0,5.0,0,4.0,420,627,3,29,-16.517899,-68.062874,Achumani,500000.0,2,Venta,2010.0,alto
0,4.0,0,4.0,307,185,1,35,-16.540758,-68.063416,Cota Cota,170000.0,2,Venta,,moderado
0,4.0,0,3.0,625,717,3,29,-16.517809,-68.051636,Achumani,290000.0,2,Venta,2015.0,alto
0,5.0,0,20.0,470,571,1,45,-16.506088000000002,-68.138535,San Pedro,550000.0,2,Venta,,moderado
0,3.0,0,7.0,195,250,2,43,-16.498272,-68.103287,Pampahasi,180000.0,2,Venta,,bajo
0,2.0,0,4.0,235,497,2,31,-16.514997,-68.09114100000001,Bolognia,230000.0,2,Venta,1994.0,bajo
0,2.0,0,3.0,0,350,2,47,-16.513016,-68.123688,Sopocachi,330000.0,2,Venta,,moderado
0,4.0,0,4.0,200,300,2,29,-16.521746,-68.05545,Achumani,205000.0,1,Venta,2018.0,alto
0,4.0,0,3.0,337,300,5,180,-16.516335,-68.083603,Alto Irpavi,250000.0,2,Venta,,bajo
0,3.0,0,5.0,257,200,1,30,-16.519811999999998,-68.102852,Alto Obrajes,218000.0,2,Venta,,moderado
0,3.0,0,4.0,335,448,2,54,-16.665884,-68.013588,Mecapaca,220000.0,2,Venta,2005.0,alto
0,4.0,0,6.0,0,204,1,32,-16.539158,-68.08114599999999,Calacoto,265000.0,2,Venta,,bajo
0,6.0,0,4.0,0,1461,3,35,-16.542698,-68.062912,Cota Cota,980000.0,2,Venta,2000.0,moderado
0,5.0,0,4.0,500,777,4,32,-16.540155,-68.085892,Calacoto,850000.0,1,Venta,2001.0,bajo
0,4.0,0,3.0,423,0,3,32,-16.539234,-68.08671600000001,Calacoto,510000.0,1,Venta,2017.0,bajo
0,5.0,0,5.0,433,356,1,41,-16.502962,-68.117294,Miraflores,370000.0,2,Venta,,muy bajo
0,5.0,0,4.0,435,430,2,29,-16.517618,-68.062965,Achumani,550000.0,2,Venta,,alto
0,1.0,0,2.0,180,200,0,43,-16.497284,-68.101738,Pampahasi,83000.0,2,Venta,,bajo
0,8.0,0,5.0,510,610,3,37,-16.502229999999997,-68.082146,Irpavi,570000.0,2,Venta,2011.0,moderado
0,4.0,0,4.0,297,373,2,33,-16.537321,-68.04675300000001,Chasquipampa,270000.0,2,Venta,,bajo
0,3.0,0,4.0,680,680,2,29,-16.53558,-68.080055,Achumani,750000.0,2,Venta,1950.0,alto
0,4.0,0,4.0,560,300,0,37,-16.502979,-68.082169,Irpavi,255000.0,2,Venta,,moderado
0,5.0,0,4.0,990,700,1,55,-16.547079,-68.069542,Auquisamaña,750000.0,1,Venta,2003.0,bajo
0,6.0,0,4.0,380,300,4,37,-16.528793,-68.085922,Irpavi,395000.0,2,Venta,,moderado
1,4.0,0,3.0,325,400,2,29,-16.507460000000002,-68.041359,Achumani,140000.0,2,Venta,,alto
0,4.0,0,3.0,370,370,4,29,-16.515427,-68.06081400000001,Achumani,465000.0,1,Venta,2010.0,alto
0,4.0,0,3.0,464,400,0,39,-16.545839,-68.084091,La Florida,450000.0,2,Venta,,moderado
0,5.0,0,4.0,350,280,1,42,-16.52272,-68.108124,Obrajes,285000.0,2,Venta,,bajo
0,5.0,0,4.0,0,0,3,35,-16.542715,-68.062874,Cota Cota,320000.0,2,Venta,1995.0,moderado
0,3.0,0,3.0,440,550,2,39,-16.551388,-68.084808,La Florida,495000.0,2,Venta,,moderado
0,6.0,0,4.0,530,0,3,39,-16.552507000000002,-68.08371700000001,La Florida,535000.0,2,Venta,2015.0,moderado
0,2.0,0,3.0,200,300,3,46,-16.533479999999997,-68.10333299999999,Seguencoma,210000.0,2,Venta,,bajo
0,4.0,0,3.0,340,600,2,35,-16.542582,-68.06079100000001,Cota Cota,415000.0,2,Venta,1996.0,moderado
0,4.0,0,3.0,300,420,3,29,-16.514236,-68.058945,Achumani,237000.0,1,Venta,,alto
0,8.0,0,6.0,677,914,5,37,-16.520359,-68.08635699999999,Irpavi,799000.0,2,Venta,,moderado
0,4.0,0,3.0,350,640,4,52,-16.543179000000002,-68.07083100000001,Los Pinos,650000.0,2,Venta,,moderado
0,6.0,0,4.0,280,300,2,180,-16.514395,-68.082565,Alto Irpavi,235000.0,2,Venta,,bajo
0,5.0,0,3.0,415,355,2,29,-16.520739000000003,-68.06369000000001,Achumani,345000.0,2,Venta,,alto
0,6.0,0,4.0,580,980,2,192,-16.569693,-68.098495,Mallasilla,1000000.0,2,Venta,,alto
0,3.0,0,3.0,670,498,3,32,-16.543612,-68.082893,Calacoto,1050000.0,1,Venta,2014.0,bajo
0,6.0,0,5.0,494,681,4,29,-16.513044,-68.056694,Achumani,620000.0,2,Venta,2007.0,alto
0,5.0,0,3.0,401,572,3,192,-16.571213,-68.091972,Mallasilla,540000.0,2,Venta,1990.0,alto
0,3.0,0,3.0,512,459,2,29,-16.534685,-68.07798000000001,Achumani,550000.0,2,Venta,,alto
0,5.0,0,5.0,316,280,2,237,-16.543941,-68.07907900000001,San Miguel,420000.0,2,Venta,,bajo
0,5.0,0,4.0,480,630,4,29,-16.513536,-68.06004300000001,Achumani,630000.0,2,Venta,2006.0,alto
0,4.0,0,3.0,220,270,4,29,-16.514318,-68.05438199999999,Achumani,243000.0,1,Venta,2019.0,alto
0,6.0,0,4.0,380,1000,5,37,-16.504696,-68.082527,Irpavi,347000.0,2,Venta,,moderado
0,3.0,0,3.0,190,220,2,29,-16.514442000000003,-68.054077,Achumani,188000.0,1,Venta,2019.0,alto
0,5.0,0,3.0,400,300,3,37,-16.515982,-68.08805100000001,Irpavi,300000.0,2,Venta,2014.0,moderado
0,6.0,0,4.0,581,440,2,39,-16.551057999999998,-68.08557900000001,La Florida,500000.0,2,Venta,2017.0,moderado
0,5.0,0,3.0,295,320,3,33,-16.538839000000003,-68.047729,Chasquipampa,260000.0,2,Venta,2014.0,bajo
0,5.0,0,3.0,500,646,3,29,-16.512541,-68.057106,Achumani,550000.0,2,Venta,2014.0,alto
0,2.0,0,2.0,200,308,2,29,-16.532688,-68.074715,Achumani,350000.0,2,Venta,2011.0,alto
0,6.0,0,4.0,413,424,2,55,-16.551336,-68.070038,Auquisamaña,360000.0,2,Venta,,bajo
0,5.0,0,4.0,420,425,1,29,-16.516829,-68.064293,Achumani,550000.0,2,Venta,,alto
0,5.0,0,3.0,406,360,2,39,-16.548426,-68.08575400000001,La Florida,483800.0,1,Venta,2019.0,moderado
0,8.0,0,6.0,380,653,5,42,-16.525345,-68.104698,Obrajes,465000.0,2,Venta,1988.0,bajo
0,5.0,0,4.0,260,300,2,29,-16.514154,-68.058319,Achumani,370000.0,2,Venta,,alto
0,3.0,0,3.0,187,390,2,33,-16.544007999999998,-68.054024,Chasquipampa,240000.0,2,Venta,,bajo
0,4.0,0,3.0,280,308,2,29,-16.532463,-68.07330300000001,Achumani,360000.0,2,Venta,2014.0,alto
0,5.0,0,4.0,470,385,2,29,-16.535742000000003,-68.07465400000001,Achumani,369000.0,2,Venta,,alto
0,3.0,0,9.0,678,510,2,46,-16.539618,-68.096535,Seguencoma,420000.0,2,Venta,1975.0,bajo
0,4.0,0,3.0,444,512,4,35,-16.544447,-68.065163,Cota Cota,470000.0,2,Venta,,moderado
0,7.0,0,4.0,604,812,4,55,-16.549946,-68.07412,Auquisamaña,865000.0,2,Venta,2013.0,bajo
0,4.0,0,4.0,209,430,3,236,-16.531843,-68.037132,Ovejuyo,280000.0,2,Venta,2018.0,moderado
0,4.0,0,3.0,271,300,2,151,-16.556795,-68.093498,Aranjuez,200000.0,2,Venta,2009.0,moderado
0,4.0,0,4.0,280,500,3,35,-16.543776,-68.069511,Cota Cota,430000.0,2,Venta,2000.0,moderado
0,5.0,0,4.0,330,444,3,29,-16.522072,-68.062073,Achumani,395000.0,2,Venta,,alto
0,3.0,0,3.0,183,300,2,29,-16.522054999999998,-68.054893,Achumani,168000.0,2,Venta,,alto
0,6.0,0,5.0,280,300,3,29,-16.514523999999998,-68.05901300000001,Achumani,320000.0,2,Venta,2012.0,alto
0,1.0,0,5.0,320,401,3,32,-16.542665,-68.06809200000001,Calacoto,460000.0,2,Venta,,bajo
0,6.0,0,4.0,345,351,3,29,-16.514828,-68.060257,Achumani,360000.0,2,Venta,,alto
0,3.0,0,9.0,570,300,5,47,-16.514051000000002,-68.12796,Sopocachi,360000.0,2,Venta,1990.0,moderado
0,3.0,0,3.0,308,352,3,55,-16.549068,-68.073402,Auquisamaña,250000.0,2,Venta,1999.0,bajo
0,3.0,0,4.0,400,600,3,37,-16.527134,-68.086929,Irpavi,600000.0,2,Venta,1994.0,moderado
0,6.0,0,3.0,300,500,3,39,-16.550678,-68.085625,La Florida,440000.0,1,Venta,2010.0,moderado
0,5.0,0,5.0,530,1080,5,42,-16.529293,-68.102722,Obrajes,1100000.0,2,Venta,1997.0,bajo
0,3.0,0,3.0,442,459,3,237,-16.539442,-68.08094799999999,San Miguel,775000.0,2,Venta,,bajo
0,6.0,0,4.0,375,330,2,32,-16.546511,-68.069405,Calacoto,410000.0,2,Venta,,bajo
0,3.0,0,3.0,398,690,3,29,-16.518887,-68.06175999999999,Achumani,720000.0,2,Venta,,alto
0,4.0,0,12.0,400,630,2,35,-16.543734,-68.068993,Cota Cota,780000.0,2,Venta,1994.0,moderado
0,2.0,0,3.0,180,300,4,29,-16.522734,-68.05980699999999,Achumani,168000.0,2,Venta,2013.0,alto
0,4.0,0,4.0,436,685,2,241,-16.531269,-68.095062,Bella Vista,570000.0,2,Venta,,moderado
0,5.0,0,4.0,462,300,3,29,-16.52046,-68.062073,Achumani,380000.0,2,Venta,2009.0,alto
